url,httpx_client,aiohttp_session
https://httpstat.us/200,708.0456089461222,1086.0025300062262
https://httpstat.us/200,718.692202004604,1140.905751963146
https://httpstat.us/200,718.322231026832,1156.9178299978375
https://httpstat.us/200,725.2271549659781,1147.8088519652374
https://httpstat.us/200,819.1491400357336,1148.5635000281036
https://httpstat.us/200,836.443567997776,1176.6797699965537
https://httpstat.us/200,840.2926719863899,1179.027366975788
https://httpstat.us/200,844.7360440040939,1179.8143520136364
https://httpstat.us/200,848.0143059859984,1181.4268860034645
https://httpstat.us/200,1437.215626006946,1191.0681040026248
https://httpstat.us/200,1441.5904190391302,1192.608630983159
https://httpstat.us/200,1446.8469719868153,1193.675474030897
https://httpstat.us/200,1446.319813025184,1193.6236969777383
https://httpstat.us/200,1445.4485229798593,1195.0136590166949
https://httpstat.us/200,1445.9816289599985,1200.6487590260804
https://httpstat.us/200,1448.617681977339,1201.2885920121334
https://httpstat.us/200,1449.448435974773,1200.2605309826322
https://httpstat.us/200,1490.538559970446,1200.1805410254747
https://httpstat.us/200,1499.5116610080004,1202.0249140332453
https://httpstat.us/200,1504.5450609759428,1202.5609740521759
https://httpstat.us/200,1508.6916260188445,1211.1837599659339
https://httpstat.us/200,1508.1195299862884,1210.0637140101753
https://httpstat.us/200,1509.007507993374,1213.227898988407
https://httpstat.us/200,1509.9241550196894,1212.5264150090516
https://httpstat.us/200,1513.7628029915504,1213.2010899949819
https://httpstat.us/200,1511.1917330068536,1211.9419790105894
https://httpstat.us/200,1512.7179810078815,1213.8659819611348
https://httpstat.us/200,1530.950355983805,1215.6063879956491
https://httpstat.us/200,1534.099682001397,1215.3827139991336
https://httpstat.us/200,1535.932253987994,1218.43725402141
https://httpstat.us/200,1539.862024015747,1220.1008630217984
https://httpstat.us/200,1544.7602689964697,1231.6363139543682
https://httpstat.us/200,1537.8390990081243,1275.4882519948296
https://httpstat.us/200,1539.2383449943736,1276.1201150133274
https://httpstat.us/200,1874.3325090035796,1291.6244969819672
https://httpstat.us/200,1879.2737370240502,1299.3522729957476
